CO_Concentration,NO2_Concentration,O3_Concentration,PM10_Concentration,PM2.5_Concentration,SO2_Concentration,Date,SO2_index,PM10_index,PM2.5_index,O3_index,NO2_index,CO_index,aqi
0.3204255319148936,34.53658454987834,89.16483333333333,22.96778213751868,10.40625,1.762013888888889,2013-07-23,0,21,43,159,17,0,159
0.4170833333333333,28.281391782407407,95.44097222222224,17.847104166666668,10.051666666666666,1.5438802083333334,2013-07-24,0,16,41,175,14,0,175
0.4391666666666666,38.99975730994152,122.11591549295774,22.88288877266388,10.256666666666666,1.2871614583333333,2013-07-25,0,21,42,217,19,0,217
0.5470212765957447,55.31200557511737,137.48638888888888,34.82624305555556,10.746666666666666,1.4012777777777778,2013-07-26,0,32,44,234,27,0,234
0.454375,44.34767505787037,142.25805555555556,34.976000351617444,11.013333333333332,1.303142361111111,2013-07-27,0,32,45,239,22,0,239
0.398125,34.83743055555556,122.03541666666666,30.683265625,11.191666666666666,1.4588802083333334,2013-07-28,0,28,46,217,17,0,217
0.498125,32.05593525179856,81.08763888888888,24.50608876811594,11.121666666666666,0.795859375,2013-07-29,0,22,46,136,16,0,136
0.5023913043478261,35.33989994026284,66.96444444444444,21.011008771929827,11.173333333333334,0.756310763888889,2013-07-30,0,19,46,90,17,0,90
0.4916666666666667,39.66462121212121,63.039718309859154,20.821397569444446,11.178333333333333,0.7943836805555556,2013-07-31,0,19,46,77,19,0,77
0.540625,39.35467447916667,67.02757142857143,18.16140451388889,11.161666666666664,0.8841579861111111,2013-08-01,0,16,46,90,19,0,90
0.61125,50.62730040792541,104.38757142857143,22.6928125,11.283333333333337,1.5309461805555555,2013-08-02,0,21,47,198,25,0,198
0.4802083333333333,45.4726490162037,132.31777777777776,29.72203781512605,11.55,3.191527777777777,2013-08-03,1,27,48,228,22,0,228
0.27625,25.57754629629629,93.4134722222222,22.99099747474748,11.575833333333332,1.268012152777778,2013-08-04,0,21,48,170,12,0,170
0.5075,26.253640734265733,93.97277777777778,17.806971153846156,11.72,0.97109375,2013-08-05,0,16,48,171,13,0,171
0.58875,47.26526475694445,101.6025,30.28465798611111,12.046666666666669,1.3033333333333337,2013-08-06,0,28,50,191,23,0,191
0.4804166666666666,37.773702256944446,97.48486111111112,23.97045659722222,11.62638888888889,0.9949826388888888,2013-08-07,0,22,48,180,18,0,180
0.5991666666666666,39.77535087719298,74.775,25.988113668061366,12.245,0.8972482638888889,2013-08-08,0,24,51,114,19,0,114
0.4620833333333333,34.68577235772358,63.32263888888888,19.603307291666667,12.201666666666666,1.4435243055555558,2013-08-09,0,18,51,78,17,0,78
